          X           Y               RA              DEC         m_B       err_B         m_V       err_V         m_R       err_R 
   3548.660    2793.120      308.8857253       60.1233184      23.361       0.018      23.152       0.009      22.895       0.012 
   4582.380    3245.670      308.9039520       60.1148668      25.941       0.067      24.247       0.009      22.922       0.007 
   1374.590    4608.960      308.8271575       60.1123508      26.244       0.049      24.362       0.011      22.876       0.008 
   3827.250    3221.290      308.8883985       60.1178627      26.173       0.070      24.334       0.009      22.925       0.007 
   4494.200    4451.140      308.8932969       60.1026756      26.213       0.068      24.313       0.011      22.850       0.008 
   4869.570    3476.400      308.9082456       60.1114286      23.276       0.017      23.011       0.008      22.711       0.010 
   1276.610     780.060      308.8530739       60.1524581      25.916       0.046      24.209       0.010      22.863       0.008 
   2437.400    3849.900      308.8548445       60.1163803      23.303       0.013      23.131       0.007      22.907       0.012 
   1763.420    1741.740      308.8561975       60.1407095      23.486       0.016      23.230       0.009      22.941       0.012 
   3704.140    1161.120      308.9009102       60.1396926      24.323       0.023      23.701       0.013      23.140       0.015 
   1391.470    1501.350      308.8501975       60.1445536      25.553       0.108      25.022       0.049      24.345       0.028 
   1096.470    1903.420      308.8411074       60.1414485      23.639       0.015      23.319       0.009      22.985       0.012 
   2821.730     793.000      308.8852064       60.1467181      24.628       0.068      24.120       0.045      23.630       0.048 
   4560.810    3110.710      308.9044904       60.1163459      23.303       0.017      23.050       0.008      22.763       0.011 
   2078.480    1839.980      308.8620491       60.1385472      24.528       0.034      23.889       0.009      23.314       0.012 
   2323.130    3384.230      308.8558644       60.1216289      26.295       0.081      24.992       0.021      23.997       0.020 
   2627.040     858.850      308.8806644       60.1467414      25.476       0.070      24.877       0.049      24.287       0.050 
   1103.490    1273.210      308.8458582       60.1479659      23.992       0.024      23.630       0.018      23.227       0.016 
   3519.170    2839.270      308.8847732       60.1229464      23.189       0.018      23.097       0.008      22.943       0.014 
   2300.050    3852.450      308.8519637       60.1168518      23.220       0.016      23.149       0.007      22.990       0.014 
   1154.070    1419.480      308.8458443       60.1462641      28.407       0.263      26.260       0.033      24.723       0.031 
   4485.600    3404.360      308.9007747       60.1135714      27.824       0.171      25.166       0.017      23.279       0.009 
   1335.020    1944.010      308.8457858       60.1401627      23.171       0.021      23.113       0.018      22.968       0.018 
   2734.910    2900.080      308.8679843       60.1251614      24.079       0.026      23.649       0.010      23.244       0.021 
   3489.400    2658.360      308.8854761       60.1249323      23.321       0.020      23.182       0.008      22.999       0.017 
   3762.190    1417.760      308.9002411       60.1368181      28.414       0.271      26.035       0.021      24.303       0.014 
   1947.490    1120.400      308.8645789       60.1464921      24.728       0.056      24.179       0.036      23.655       0.043 
   4784.250    3464.160      308.9065580       60.1118657      27.152       0.135      25.057       0.015      23.415       0.011 
   2138.440     842.620      308.8705931       60.1486830      23.730       0.018      23.422       0.009      23.092       0.012 
   3846.160    1320.000      308.9027074       60.1375277      23.506       0.022      23.303       0.010      23.058       0.013 
   1649.270    3823.870      308.8386100       60.1195071      25.531       0.127      23.899       0.081      22.773       0.143 
   1788.380    1419.260      308.8590754       60.1439667      27.073       0.125      25.339       0.015      24.074       0.015 
