x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
431.41,2426.04,26.761,0.28,99.99,1.97e-11,0.011,-0.098,3.9,0.019
2238.51,3395.38,26.627,0.243,26.7141582114,2.23e-11,0.009,0.172,4.5,-0.103
2512.76,1301.25,26.441,0.208,26.2732637404,2.65e-11,0.022,0.627,5.2,0.131
1340.82,1295.57,25.702,0.107,26.7263186375,5.24e-11,0.013,0.352,10.1,-0.002
2110.64,3215.41,24.256,0.031,25.7444696434,1.98e-10,0.007,-0.081,35.1,-0.012
2593.56,969.3,26.952,0.327,26.8322091987,1.66e-11,0.033,-0.345,3.3,0.32
396.29,709.86,25.479,0.088,25.4079270866,6.43e-11,0.023,-0.52,12.3,-0.011
3952.18,2053.48,25.149,0.066,28.0318411363,8.71e-11,0.029,0.436,16.4,-0.006
1967.0,2591.49,26.01,0.141,25.952629507,3.95e-11,0.12,0.834,7.7,0.054
3439.06,2656.88,26.761,0.282,27.6346777825,1.98e-11,0.048,0.461,3.8,0.087
1152.5,2065.29,24.97,0.056,24.8440125765,1.03e-10,0.01,0.319,19.3,0.061
1745.7,3018.13,26.561,0.232,25.0413669206,2.37e-11,0.27,0.453,4.7,-0.133
3689.19,81.99,26.28,0.183,99.99,3.08e-11,0.2,1.261,5.9,-0.194
1281.41,1052.65,26.125,0.155,27.9858746901,3.55e-11,0.013,0.305,7.0,-0.131
3144.59,2423.01,25.812,0.119,25.6611015604,4.73e-11,0.024,0.435,9.1,0.023
2841.77,1108.81,24.599,0.041,24.979695292,1.45e-10,0.023,0.143,26.3,-0.021
569.44,2866.63,26.691,0.258,26.8977414132,2.11e-11,0.006,-0.791,4.2,0.111
271.14,844.9,25.84,0.123,26.0444437336,4.61e-11,0.031,-0.648,8.8,0.075
1944.92,263.73,26.586,0.238,99.99,2.32e-11,0.058,0.722,4.6,-0.034
2171.57,2330.55,26.568,0.23,26.6371113928,2.36e-11,0.099,2.395,4.7,-0.06
2671.16,3024.82,25.976,0.139,24.7494815491,4.07e-11,0.067,0.729,7.8,0.088
2922.6,3377.1,25.024,0.059,25.045482348,9.78e-11,0.013,0.033,18.3,0.024
3796.85,351.02,25.541,0.094,25.5772599699,6.08e-11,0.028,0.082,11.5,0.021
631.49,3477.02,25.17,0.067,25.1633778801,8.55e-11,0.053,0.186,16.1,-0.03
2257.11,1269.78,24.814,0.05,24.7228916374,1.19e-10,0.003,0.241,21.8,-0.015
2419.71,1725.88,26.397,0.2,26.6815458668,2.76e-11,0.01,0.408,5.4,-0.012
1725.56,3798.15,25.581,0.096,23.795663737,5.86e-11,0.05,-0.109,11.3,-0.121
447.72,2925.1,25.469,0.087,25.545101113,6.49e-11,0.045,0.627,12.4,-0.043
3890.88,1678.14,26.816,0.295,99.99,1.88e-11,0.081,0.247,3.7,0.099
2982.04,2473.73,26.768,0.284,26.8261995995,1.96e-11,0.019,1.526,3.8,0.057
1012.6,1049.41,13.334,0.0,13.2322334095,4.64e-06,0.0,0.0,14663.0,0.007
3860.58,751.02,24.857,0.088,27.296490932,1.14e-10,0.077,0.86,12.3,0.002
1093.1,3905.03,25.508,0.091,25.5160741251,6.27e-11,0.015,0.231,11.9,0.007
1707.46,1037.2,25.544,0.093,25.6798128288,6.06e-11,0.051,0.035,11.6,-0.084
1432.82,2019.79,26.498,0.222,26.5555345776,2.52e-11,0.029,-0.709,4.9,0.105
3967.6,18.21,24.327,0.033,24.2992220906,1.86e-10,0.002,0.009,32.9,0.015
2160.28,1041.06,26.787,0.287,26.8933156136,1.93e-11,0.099,-0.063,3.8,0.057
600.38,230.76,26.439,0.208,99.99,2.66e-11,0.057,1.206,5.2,-0.275
271.18,3966.44,26.557,0.231,26.8134296947,2.38e-11,0.041,0.178,4.7,-0.068
3545.04,3339.35,25.891,0.128,25.8553495068,4.4e-11,0.022,1.31,8.5,0.04
2281.03,1226.91,26.461,0.215,26.6634531351,2.6e-11,0.023,-0.638,5.1,0.05
1576.49,1967.88,24.643,0.043,24.601755393,1.39e-10,0.009,0.005,25.4,0.011
2974.04,3553.43,26.849,0.302,27.1144528891,1.82e-11,0.02,-0.765,3.6,0.211
248.04,3556.95,25.318,0.078,25.3714373519,7.46e-11,0.007,0.073,14.0,0.033
2072.27,2857.01,26.018,0.144,25.9345974756,3.92e-11,0.049,0.318,7.6,0.08
796.48,2038.28,26.811,0.288,26.8986934604,1.89e-11,0.277,0.725,3.8,0.076
